file_name,original_size,compressed_size,compression_ratio,latency_ms,is_large_file,bug_triggered,checksum_ok,failed
large_6.bin,100000000,100030523,1.00030523,2794.705,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2345.931,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2334.579,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2302.429,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2321.902,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2311.436,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2318.763,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2318.606,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2316.675,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2329.305,0,0,1,0
small_text_4.txt,30000,22740,0.758,2316.4,0,0,1,0
small_text_5.txt,40000,30320,0.758,2316.797,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2344.865,0,0,1,0
large_1.bin,5000000,5001548,1.0003096,2469.115,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2377.583,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2421.345,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2565.678,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2718.165,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,2798.767,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2335.935,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2321.745,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2315.581,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2307.991,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2312.99,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2325.701,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2334.876,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2318.58,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2316.256,0,0,1,0
small_text_4.txt,30000,22740,0.758,2707.241,0,0,1,0
small_text_5.txt,40000,30320,0.758,2722.063,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2764.288,0,0,1,0
large_1.bin,5000000,5001548,1.0003096,2494.379,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2374.817,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2419.89,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2585.086,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2714.479,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,3221.864,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2698.983,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2748.338,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2734.678,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2773.536,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2737.712,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2727.009,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2732.548,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2711.824,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2700.198,0,0,1,0
small_text_4.txt,30000,22740,0.758,2732.863,0,0,1,0
small_text_5.txt,40000,30320,0.758,2726.604,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2761.108,0,0,1,0
stupid1.txt,34984320,223185,0.006379572334119971,2811.996,1,0,1,0
stupid10.txt,92927100,588322,0.006331005702319345,2975.457,1,0,1,0
stupid2.txt,174921600,1105019,0.006317224402246492,3196.98,1,0,1,0
stupid3.txt,27,27,1.0,2711.66,0,0,1,0
stupid4.txt,122978270,777700,0.00632388144669786,3063.09,1,0,1,0
stupid5.txt,104952993,664104,0.00632763279080569,3004.894,1,0,1,0
stupid6.txt,119367250,754945,0.00632455719638343,3072.208,1,0,1,0
stupid7.txt,247805617,1564312,0.00631265755368249,3347.772,1,0,1,0
stupid8.txt,11843716,77406,0.006535617706469828,2780.811,1,0,1,0
stupid9.txt,70150854,444798,0.006340592803046988,2933.354,1,0,1,0
large_1.bin,5000000,5001548,1.0003096,2498.51,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2387.493,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2429.128,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,3213.366,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,3425.536,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,3583.708,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2771.18,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2843.988,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2851.974,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2893.508,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2771.006,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2757.022,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2726.111,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2314.699,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2313.999,0,0,1,0
small_text_4.txt,30000,22740,0.758,2322.324,0,0,1,0
small_text_5.txt,40000,30320,0.758,2325.109,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2325.636,0,0,1,0
stupid1.txt,34984320,223185,0.006379572334119971,2630.877,1,0,1,0
stupid10.txt,92927100,588322,0.006331005702319345,2939.302,1,0,1,0
stupid2.txt,174921600,1105019,0.006317224402246492,3261.017,1,0,1,0
stupid3.txt,27,27,1.0,2708.152,0,0,1,0
stupid4.txt,122978270,777700,0.00632388144669786,3048.852,1,0,1,0
stupid5.txt,104952993,664104,0.00632763279080569,3008.435,1,0,1,0
stupid6.txt,119367250,754945,0.00632455719638343,3024.87,1,0,1,0
stupid7.txt,247805617,1564312,0.00631265755368249,3447.142,1,0,1,0
stupid8.txt,11843716,77406,0.006535617706469828,2772.64,1,0,1,0
stupid9.txt,70150854,444798,0.006340592803046988,2942.688,1,0,1,0
large_1.bin,5000000,5001548,1.0003096,2489.181,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2821.705,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2468.058,1,0,1,0
large_4.bin,50000000,50015273,1.00030546,2602.758,1,0,1,0
large_5.bin,75000000,75022898,1.0003053066666667,2675.999,1,0,1,0
large_6.bin,100000000,100030523,1.00030523,2766.177,1,0,1,0
medium_bin_2.bin,250000,250098,1.000392,2330.358,0,0,1,0
medium_bin_4.bin,1000000,1000328,1.000328,2337.496,0,0,1,0
medium_text_1.txt,100000,75763,0.75763,2333.23,0,0,1,0
medium_text_3.txt,500000,378799,0.757598,2349.196,0,0,1,0
small1.txt.txt,6,26,4.333333333333333,2320.053,0,0,1,0
small2.txt.txt,12,29,2.4166666666666665,2323.435,0,0,1,0
small_text_1.txt,5000,3818,0.7636,2311.297,0,0,1,0
small_text_2.txt,10000,7596,0.7596,2326.112,0,0,1,0
small_text_3.txt,20000,15182,0.7591,2347.637,0,0,1,0
small_text_4.txt,30000,22740,0.758,2329.131,0,0,1,0
small_text_5.txt,40000,30320,0.758,2335.505,0,0,1,0
small_text_6.txt,50000,37890,0.7578,2318.408,0,0,1,0
stupid1.txt,34984320,223185,0.006379572334119971,2384.272,1,0,1,0
stupid10.txt,92927100,588322,0.006331005702319345,2491.337,1,0,1,0
stupid2.txt,174921600,1105019,0.006317224402246492,2621.775,1,0,1,0
stupid3.txt,27,27,1.0,2307.578,0,0,1,0
stupid4.txt,122978270,777700,0.00632388144669786,2531.625,1,0,1,0
stupid5.txt,104952993,664104,0.00632763279080569,2522.259,1,0,1,0
stupid6.txt,119367250,754945,0.00632455719638343,2552.826,1,0,1,0
stupid7.txt,247805617,1564312,0.00631265755368249,2768.466,1,0,1,0
stupid8.txt,11843716,77406,0.006535617706469828,2358.024,1,0,1,0
stupid9.txt,70150854,444798,0.006340592803046988,2447.323,1,0,1,0
large_1.bin,5000000,5001548,1.0003096,2502.556,0,0,1,0
large_2.bin,10000000,10003073,1.0003073,2410.151,0,0,1,0
large_3.bin,20000000,20006123,1.00030615,2473.46,1,0,1,0
